index,study,age,gender,education,language,birth_place,location,group,task,id,t1_exclude,t1_dscore,t2_exclude,t2_dscore,Q1_A1,Q1_A2 *,Q1_A3 *,Q1_A4,Q1_A5 *,Q1_A6,Q1_A7,Q1_A8 *,Q1_A9,Q1_A10 *,t1_ques,Q2_A1,Q2_A2 *,Q2_A3 *,Q2_A4,Q2_A5 *,Q2_A6,Q2_A7,Q2_A8 *,Q2_A9,Q2_A10 *,t2_ques_computed,t2_ques,t1_ques_norm,t2_ques_norm,1st check indicator,2nd check,2nd check indicator,exclude,exclude_t1,dscore_paired_even_t1,dscore_paired_odd_t1,exclude_t2,dscore_paired_even_t2,dscore_paired_odd_t2,t1_com_d_norm,t2_com_d_norm
601,S1,24,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_06P9GR2YFsfHUu5,False,-0.957403846,False,-0.590501435,3,3,3,2,4,3,2,5,5,4,26,1,5,5,1,5,1,1,5,1,5,10,10,-0.223976555,-1.247195074,,introverted,,0,False,-0.70424674,-1.604492907,False,-0.87277072,-0.413159671,-0.870723387,-0.243439243
602,S1,46,Female,Professional degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1CC5xO6MebuNmtn,False,-0.270859091,False,-0.192920607,4,1,1,4,1,5,5,1,3,1,46,5,1,1,5,1,5,5,1,5,1,50,50,2.063815161,1.267349823,,extrovert,,0,False,-0.382147175,-0.108349353,False,0.075613705,-0.141175456,0.303045512,0.436295047
608,S1,28,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1E6xpyZ3mUWk9g2,False,-0.879803938,False,-1.253019729,1,2,2,4,4,4,2,4,4,4,29,1,5,5,1,5,1,1,5,1,5,10,10,0.119192202,-1.247195074,,introverted,,0,False,-0.669464213,-1.264535195,False,-1.253585987,-1.568801398,-0.738052709,-1.376130684
609,S1,53,Male,Professional degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1eEmJve1cxeUvhC,False,-0.175492059,False,-0.259957533,2,2,2,4,4,4,4,5,1,4,28,5,1,2,5,1,5,5,1,5,1,49,49,0.004802616,1.204486201,,extrovert,,0,False,-0.151476091,-0.063498748,False,-0.343496752,-0.214320384,0.466092211,0.321683642
611,S1,66,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,IAT,R_1F2I3BOpNyrAyXb,False,1.198838551,False,0.957874531,3,2,1,4,3,4,3,4,3,3,34,3,2,2,4,3,4,3,3,3,3,34,34,0.691140131,0.261531864,,,,0,False,1.49715754,1.348788141,False,1.210557982,1.010533236,2.815751888,2.403781553
613,S1,25,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_1f9E4rqMDYNBhvE,False,-0.527859698,False,-0.635042316,1,4,4,1,5,1,1,4,2,5,14,1,5,4,1,4,1,1,4,1,5,13,13,-1.596651585,-1.058604207,,,,0,False,-0.166155056,-0.308821688,False,-0.408868267,-0.557133853,-0.136342186,-0.319589706
614,S1,26,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1FacT2hOWxQfTOE,False,-0.727636593,False,-0.382518052,2,3,2,4,4,3,2,4,2,4,26,1,5,5,1,5,1,1,5,1,5,10,10,-0.223976555,-1.247195074,,introverted,,0,False,-0.867316267,-0.415704396,False,-0.320062791,-0.424698,-0.477895894,0.112144897
615,S1,22,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1FyL8DQEmELPfTs,False,0.084121403,False,-0.358250607,2,2,2,4,3,4,4,2,3,2,36,1,5,5,1,5,1,1,5,1,5,10,10,0.919919303,-1.247195074,,introverted,,0,False,0.020162785,-0.251170922,False,-0.333369844,-0.40346672,0.909947045,0.153634358
616,S1,21,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1GBpIk06q8UiI8D,False,-1.135475884,False,-1.110837824,1,3,2,2,4,3,1,4,2,5,21,5,1,1,5,1,5,5,1,5,1,50,50,-0.795924485,1.267349823,,extraverted,,0,False,-1.190896685,-1.177137689,False,-1.250586198,-1.223544936,-1.175168827,-1.133045734
617,S1,22,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1GEqanbuD1vNdj6,False,0.607382397,False,0.486143714,3,2,2,4,2,4,4,2,4,2,39,5,1,1,5,1,5,5,1,5,1,50,50,1.26308806,1.267349823,,extraverted,,0,False,0.258843889,0.40530016,False,0.459882506,0.534928568,1.804553662,1.597274829
